"V1"	"V2"
"accident"	-0.113811775593467	0.0721406700808336
"advertise"	-0.114779059362882	0.0340745103215603
"afternoon"	-0.119554457145327	-0.202099341790542
"allergy"	-0.107994720619769	0.084576527271458
"apartment"	-0.0553798914246053	0.033711566721
"arrive"	-0.12338132255097	-0.116673396599031
"Asian"	-0.123592923570932	0.0931209334197298
"athlete"	-0.129364238901534	0.0987693239463474
"baby"	-0.111628863076624	-0.139514365135314
"bacon"	-0.114373116013122	0.0675129200695066
"banana"	-0.108676630112086	0.0684527983267763
"baseball"	-0.116525234036849	0.0157998763426067
"basketball"	-0.112287155459372	0.123218867697832
"bath"	-0.108534213316288	0.0408884883047804
"bear as in animal"	-0.104521552360998	0.0799714756576245
"bear as in tolerate"	-0.0471435022435257	0.117050726443094
"bored"	-0.042770169192261	0.08400807179094
"busy"	-0.112487283195363	-0.0647989772434366
"calculus"	-0.114623422438692	0.0518016565081605
"cash register"	-0.135499442089743	-0.112918328907596
"child"	-0.0575799178346211	-0.0807032632678194
"church"	-0.11802159597461	-0.107648636487362
"cold"	-0.117286205821209	0.121400604850689
"college"	-0.119012863165907	-0.184956452111462
"crowd"	-0.116181905621095	0.130449357336951
"depend"	-0.114927084578217	-0.149364521819155
"desert"	-0.052924210822539	0.0141786227505366
"doctor"	-0.105486903010436	-0.207584524614895
"dolphin"	-0.116450103332052	-0.0911054385639874
"don't like"	-0.0561619594374235	0.0316391164800325
"dormitory"	-0.0450430045662057	0.103786020440237
"drink"	-0.0434969600353379	0.0952572199985485
"early"	-0.11441624621002	-0.0251116645055603
"engineer"	-0.108600283995783	0.0299764821777993
"firefighter"	-0.0414565053362038	0.0570829550238757
"food"	-0.0448850789922628	0.0584290060437484
"french fries"	-0.05670843115924	-0.0590098453054216
"Friday"	-0.053570994992735	0.049094516227191
"frustrate"	-0.117217811600656	0.0671932201890862
"girlfriend"	-0.133627039081705	-0.0659847829646587
"green"	-0.0554119575641585	0.0619731033565118
"hill"	-0.0589455496541584	-0.0640218066652893
"home"	-0.0467936283389377	0.105485099453837
"hospital"	-0.0431889323773094	0.0403603471947137
"hot"	-0.0523888621971557	0.107903811845536
"hotel"	-0.111899257110079	0.0119667939659376
"humble"	-0.122322181643605	0.0681271165621104
"hurt"	-0.116907595628954	0.0759407673829575
"inside"	-0.11126251419232	-0.114203630196275
"internet"	-0.11378228122862	0.105672125398267
"introduce"	-0.106106961261505	-0.0177957975149405
"jail"	-0.0984542654046809	0.0488013604808824
"jeans"	-0.12373286370576	0.0120008676683022
"jog"	-0.108389485971323	0.0912333859496791
"jump"	-0.120960334004182	-0.195835474919012
"lake"	-0.1172224135561	0.173435164013033
"laugh"	-0.0902980556742765	0.184318663686433
"laundry"	-0.125419708342247	-0.0496032107967017
"learn"	-0.120435946549553	-0.15002913954581
"left"	-0.055243973565478	0.0713155857109626
"library"	-0.0543291892316096	0.0657581237973143
"license"	-0.121999093548776	0.107028415712569
"long time ago"	-0.0626239944233326	0.0980126373193
"mad"	-0.053102227238051	0.0997422685924343
"makeup"	-0.0877060110431173	0.149770322046077
"manage"	-0.110841057764657	0.0993283608919987
"mean as in average"	-0.121706454066009	-0.104651998671972
"mean as in cruel"	-0.126690721595573	0.125572214824878
"mean as in meaning"	-0.119019555572568	-0.203986722426338
"morning"	-0.090978467686417	0.0382122142559611
"movie"	-0.107961587684234	-0.0157371010596098
"music"	-0.108535578683706	-0.0599811809091106
"overalls"	-0.0991337733672598	0.0879787485855574
"paper"	-0.120640165860151	-0.186326849311413
"pea"	-0.113471249354311	-0.147621329205383
"plum"	-0.100299596270895	0.119995690144279
"poetry"	-0.107304716200714	-0.0686776229320586
"psychology"	-0.11361796032687	-0.0564211189966219
"raspberry"	-0.10849721620793	0.0700874733607953
"river"	-0.133765435554815	0.026705788998153
"rollerblade"	-0.11565419557785	-0.0620828944517944
"sandal"	-0.108622794933705	-0.119231156296484
"sandwich"	-0.0858452102302372	-0.0703691834474326
"secretary"	-0.125290613794837	-0.101976478405662
"senior"	-0.118106205894603	-0.133930107809136
"shoes"	-0.117505956904892	-0.0383143449083948
"sick"	-0.094979782046877	0.0333551864026524
"single"	-0.0514738440569032	0.0750285779358549
"skateboard"	-0.0988158871526111	-0.0809352127608576
"skirt"	-0.109951599308992	-0.0576177040696977
"smart"	-0.0460222598029429	0.105881490888494
"stupid"	-0.0458446993881771	0.106024285185392
"teenager"	-0.0445169798447864	0.0998257907868211
"tennis"	-0.0591996137982583	0.0619826758077441
"thank you"	-0.0639191327708925	0.095267209014367
"tiger"	-0.0891091346168455	0.173740709212087
"toothbrush"	-0.0450831354287275	0.0956249598265413
"vote"	-0.117182227570866	-0.122345236322054
"wrench"	-0.107613464466743	0.0625109327100664
"young"	-0.10717187577814	0.0306299583070651
